name,private_public,range,lowest_sat,highest_sat,lowest_act,highest_act,acceptance_rate
Williams College (MA),private,1410-1560,,,,,15%
Amherst College (MA),private,1410-1550,,,,,12%
Swarthmore College (PA),private,1395-1540,,,,,9%
Pomona College (CA),private,1390-1540,,,,,9%
Wellesley College (MA),private,1350-1520,,,,,20%
Bowdoin College (ME),private,1330-1510,,,,,9%
United States Naval Academy (MD),public,1230-1450,,,,,9%
Claremont McKenna College (CA),private,1330-1500,,,,,13%
Carleton College (MN),private,30-34,,,,,21%
Middlebury College (VT),private,1340-1520,,,,,22%
United States Military Academy (NY),public,1210-1440,,,,,9%
Washington and Lee University (VA),private,1350-1500,,,,,24%
Davidson College (NC),private,1300-1460,,,,,20%
Grinnell College (IA),private,30-34,,,,,19%
Hamilton College (NY),private,1380-1510,,,,,18%
Haverford College (PA),private,1360-1520,,,,,18%
Barnard College (NY),private,1350-1518,,,,,14%
Colby College (ME),private,1380-1520,,,,,10%
Colgate University (NY),private,1300-1470,,,,,27%
Smith College (MA),private,1325-1510,,,,,37%
Wesleyan University (CT),private,1340-1520,,,,,21%
United States Air Force Academy (CO),public,29-33,,,,,13%
University of Richmond (VA),private,1280-1460,,,,,31%
Vassar College (NY),private,1360-1520,,,,,25%
Bates College (ME),private,1210-1420,,,,,14%
Colorado College,private,1240-1460,,,,,14%
Macalester College (MN),private,1280-1450,,,,,39%
Harvey Mudd College (CA),private,1490-1570,,,,,18%
Soka University of America (CA),private,1180-1410,,,,,52%
Berea College (KY),private,22-26,,,,,33%
Bryn Mawr College (PA),private,1240-1500,,,,,38%
Kenyon College (OH),private,1280-1460,,,,,37%
Mount Holyoke College (MA),private,1270-1500,,,,,52%
Scripps College (CA),private,1320-1480,,,,,35%
College of the Holy Cross (MA),private,1290-1430,,,,,38%
Pitzer College (CA),private,1325-1510,,,,,17%
Oberlin College and Conservatory (OH),private,1270-1450,,,,,35%
Bucknell University (PA),private,1220-1400,,,,,38%
